Pressure_1,Rs_1,Bo_1,Pressure_2,Rs_2,Bo_2,Pressure_3,Rs_3,Bo_3,Pressure_4,Rs_4,Bo_4
14.696,6.00517,1.11135,14.696,7.1666,1.04554,14.7,4.72679,1.11059,14.696,6.0152,1.04747
62.0496,15.3455,1.11574,89.0496,25.319,1.0532,59.2,11.6038,1.11358,97.7163,23.2034,1.05417
109.403,25.8374,1.12071,163.403,46.262,1.06218,104,19.3003,1.11694,180.737,43.162,1.06208
156.757,37.1273,1.12608,237.757,69.0086,1.07212,148,27.5702,1.12057,263.757,64.8823,1.07082
204.11,49.0408,1.13178,312.11,93.1272,1.08285,193,36.2903,1.12441,346.777,87.9349,1.08024
251.464,61.4718,1.13777,386.464,118.367,1.09428,237,45.3848,1.12844,429.797,112.073,1.09026
298.818,74.3479,1.14401,460.818,144.562,1.10633,282,54.8018,1.13262,512.818,137.135,1.10083
346.171,87.6161,1.15048,535.171,171.594,1.11897,326,64.5033,1.13695,595.838,163.004,1.11189
393.525,101.236,1.15716,609.525,199.371,1.13215,371,74.4602,1.14142,678.858,189.593,1.12342
440.878,115.176,1.16405,683.878,227.825,1.14585,415,84.6492,1.14601,761.878,216.833,1.13539
488.232,129.408,1.17112,758.232,256.897,1.16004,460,95.0514,1.15072,844.899,244.668,1.14778
535.586,143.913,1.17837,832.586,286.54,1.1747,504,105.651,1.15553,927.919,273.054,1.16056
582.939,158.671,1.1858,906.939,316.715,1.1898,549,116.435,1.16046,1010.94,301.95,1.17373
630.293,173.666,1.19339,981.293,347.387,1.20535,593,127.392,1.16549,1093.96,331.326,1.18728
677.646,188.884,1.20113,1055.65,378.526,1.22131,638,138.511,1.17061,1176.98,361.151,1.20117
725,204.314,1.20903,1130,410.108,1.23767,682,149.785,1.17583,1260,391.401,1.21542
980,290.638,1.25403,1304,485.619,1.27749,946,219.371,1.20853,1408,446.315,1.24163
1235,381.611,1.3028,1478,563.186,1.31932,1210,292.982,1.24397,1556,502.405,1.26887
1490,476.457,1.35498,1652,642.618,1.36306,1470,369.907,1.28186,1704,559.581,1.29707
1745,574.642,1.41028,1826,723.758,1.40861,1740,449.667,1.322,1852,617.77,1.3262
2000,675.777,1.46851,2000,806.477,1.45588,2000,531.918,1.36421,2000,676.907,1.35622
